comment_id,text_clean,language,sentiment_bert_predicted,manual_label
UgySSmdpaP_ZKBhGAht4AaABAg,“Every team Speed supports ends up losing.” 😅⚽,en,POS,NEU
UgwYWHvFjQ7IG_h3LKl4AaABAg.AYp2bKApQQbAYp5CGg-GA7,"this i can actually agree with, but the story of Cape Verdes run at the 2026 was nothing short of completely ordinary, and the fact people are acting like it was magical and world altering is maybe the dumbest single thing i have ever heard.",en,NEU,NEG
UgxAMamBQopaCmpApCl4AaABAg,Que golazo habia metido yamal 😬,es,POS,POS
UgwbDRdTM7h-HQdtm-54AaABAg,los del congo se dejan rovar mucho el balón lastima,es,NEG,NEG
UgytUVxmjjbRRlH0NUN4AaABAg.AXwAKHPRzQZAXwBFOmt3EJ,No le digas a los Wilos porque se enojan.,es,NEU,NEU
Ugw8rpRs9y-K1L1lPE54AaABAg.AYu4I1c31HAAYuCiKzzYHX,think? who are you picking to reach the finals?,en,NEU,NEU
UgzO_Uzc1QqCH1aZEXV4AaABAg,Y con bases en que lo anularon? No se ve faul alguno en la repetición,es,NEU,NEG
UgyrgfTPKV32jpMyKp94AaABAg,Olise have contributed to all the goals in this WC. He will get the golden boot.,en,POS,POS
UgwxN9sONfMRO9nZYyx4AaABAg.AYpBksEBU1MAYpRhsf6qMa,"agreed,💯",en,NEU,POS
UgyxKKoYt02zr5TjAe14AaABAg,"Mmmta veo muchos desadaptados por acá comentando...que partido sin amaño y no se que más. Si ya saben quien va a ganar para que perder tiempo viendo los partidos? Aunque pienso que lo que dicen tiene algo de veracidad, en las casas de apuestas se maneja mucho dinero. Es como en La Champions League tiene el mismo tipo de irregularidades y seguimos viéndola. Así que hay que quejarse menos y disfrutar de los partidos arreglados. 🤷🏽‍♂️🤣🤣🤣",es,NEU,NEG
UgznHHTU2H3z5DZ1EGh4AaABAg.AYwUjT5fo_3AYx7pShkfff,Next hopefully Harry Kane... completly overrated this England...,en,NEU,NEG
Ugz3n5QACrpDc3jCsDd4AaABAg.AYwjDPGZfS4AYwxYXRjVEa,What did he do??,en,NEG,NEU
Ugzz4R9dOwT1FWpDjOB4AaABAg,Mbappe 🎉Blaster Every Match Hits 2 Goals ⚽,en,POS,POS
UgyWGBwN-kNcUVflBpp4AaABAg,Embolo what a Swiss name!,en,NEU,NEU
UgysBQhKto8_fj5DkAp4AaABAg,Tournament started 3 games ago. Problem is England still haven't,en,NEU,NEG
Ugy2ORmpjUmjxrprUJt4AaABAg.AZ69L0WkHWgAZ6xHmNI8aa,​ still right tho,en,NEU,NEU
UgxPGLYopv5yDG4NR7t4AaABAg,"<a href="" amazing touch from Martinez 👏",en,NEU,POS
Ugxd03f8Rdq7vguVaTx4AaABAg,Too easy opponents for Argentina,en,NEG,NEG
UgzlPAyJOwWvRQW-DUd4AaABAg,Good for him!,en,NEG,POS
UgwlyNqlAVuX5kzlJld4AaABAg.AY8hIQwQor1AY8mWgM19qQ,Bro una pregunta donde puedo ver los partidos del mundial?,es,NEU,NEU
Ugxf6nZt79KeaC79eNZ4AaABAg.AY_Z3L2I1CLAY_fc_xhsSN,Fk the anthem,en,POS,NEG
UgxBhXw2y41yLaxH8u14AaABAg,MBAPPEEE <br><br><b>dead silence for 20 seconds</b> <br><br>god English commentary is soo freaking lame,en,POS,NEG
UgxZARtbIHFWzmcjATt4AaABAg.AYvp-8NYx7MAYvqTP-3EXh,Summed the ref up,en,NEU,NEG
UgwOoEc5gexJoqo0gCp4AaABAg.AY_EuT0slzlAY_Qax2-S2e,"​ will be the champions of the 2025 Africa Cup of Nations, and the whole world knows it. Anyone who says otherwise is just envious. 😂",en,NEU,POS
UgyceySxGQg7BKeyVzZ4AaABAg.AYycqyzqDBWAYysNLRqMvc,"You are right. If Egypt put their attitude away, Argentina had no chance.",en,NEU,NEU
